"number","title","labels","opened","state","merged","closed","beforeFCPProposed","fcpProposed","beforeFCPEntered","fcpEntered","beforeFCPComplete","fcpComplete"
1558,"RFC: Allow coercing non-capturing closures to function pointers.","final-comment-period,T-lang","2016-03-25T22:57:42Z","MERGED","2017-02-14T14:53:32Z","",59,"2017-01-11T17:43:03Z",5,"2017-02-01T14:44:32Z",1,"2017-02-11T14:49:19Z"
1582,"Add tuple cons cell syntax","final-comment-period,T-lang","2016-04-17T06:17:49Z","CLOSED","","2017-01-23T23:28:45Z",74,"2016-12-07T03:17:36Z",2,"2017-01-06T05:38:56Z",7,"2017-01-23T08:25:39Z"
1584,"Macros by example 2.0 (macro!)","final-comment-period,T-lang","2016-04-19T05:29:54Z","MERGED","2017-01-30T20:34:44Z","",8,"2016-11-11T03:59:11Z",37,"2016-12-20T20:58:01Z",15,"2017-01-23T08:25:38Z"
1646,"&move, DerefMove, DerefPure and box patterns","final-comment-period,T-lang","2016-06-09T10:41:06Z","CLOSED","","2017-03-06T17:47:13Z",67,"2017-02-11T05:33:46Z",1,"2017-02-23T19:23:23Z",3,"2017-03-05T19:25:43Z"
1650,"Generic closures","final-comment-period,T-lang","2016-06-15T13:23:23Z","CLOSED","","2017-03-06T17:48:16Z",34,"2017-01-31T23:36:13Z",0,"2017-02-23T19:17:54Z",0,"2017-03-05T19:25:43Z"
1651,"Extend Cell to non-Copy types","final-comment-period,T-lang,T-libs","2016-06-15T13:25:11Z","MERGED","2017-01-23T23:22:34Z","",45,"2016-12-21T23:32:04Z",3,"2017-01-15T01:39:35Z",1,"2017-01-25T01:49:20Z"
1658,"Revisiting specialization: Complementary traits","final-comment-period,T-lang","2016-06-26T21:12:22Z","CLOSED","","2017-03-26T03:35:37Z",43,"2017-02-23T02:59:56Z",0,"2017-03-15T14:38:23Z",0,"2017-03-25T14:39:04Z"
1666,"Extend the `Hasher` trait with `fn delimit` to support one-shot hashing","final-comment-period,T-libs","2016-07-04T09:24:49Z","CLOSED","","2017-03-27T21:05:08Z",36,"2016-12-20T00:50:21Z",11,"2017-03-14T20:34:05Z",0,"2017-03-24T20:36:24Z"
1672,"Disjointness based on associated types.","final-comment-period,T-lang","2016-07-11T05:25:13Z","CLOSED","","2017-03-26T03:36:08Z",28,"2017-02-23T02:59:53Z",0,"2017-03-15T14:38:22Z",0,"2017-03-25T14:39:03Z"
1685,"Deprecate anonymous parameters","final-comment-period,T-lang","2016-07-24T20:18:23Z","MERGED","2017-05-01T22:07:10Z","",67,"2017-03-04T00:02:16Z",1,"2017-04-19T09:24:44Z",0,"2017-04-29T10:05:00Z"
1695,"Add a `compile_error!` macro to libstd","final-comment-period,T-libs","2016-08-01T14:16:42Z","MERGED","2017-03-28T04:37:41Z","",18,"2017-02-01T00:07:07Z",7,"2017-03-14T20:34:05Z",1,"2017-03-24T20:36:25Z"
1699,"Allow uncallable method impls to be omitted","final-comment-period,T-lang","2016-08-03T14:12:44Z","CLOSED","","2017-03-03T23:59:14Z",19,"2016-12-07T02:14:39Z",1,"2017-01-06T05:38:55Z",5,"2017-01-23T08:25:38Z"
1712,"Add 'else match' blocks to if expressions.","final-comment-period,T-lang","2016-08-11T07:50:38Z","CLOSED","","2017-03-06T17:49:48Z",107,"2017-02-14T00:56:09Z",13,"2017-02-23T19:23:24Z",3,"2017-03-05T19:25:44Z"
1725,"Add ptr::{read,write}_unaligned","final-comment-period,T-libs","2016-08-22T16:36:50Z","MERGED","2016-11-23T05:59:27Z","",11,"2016-11-04T01:21:03Z",2,"2016-11-12T01:11:28Z",0,"2016-11-22T01:38:50Z"
1733,"Trait alias.","final-comment-period,T-lang","2016-08-31T12:19:43Z","MERGED","2017-04-24T22:46:56Z","",131,"2017-03-07T22:33:41Z",40,"2017-04-13T10:47:45Z",3,"2017-04-23T10:48:54Z"
1746,"Check future-proofing of `macro_rules!` using FIRST sets.","final-comment-period,T-lang","2016-09-10T20:31:47Z","CLOSED","","2017-05-01T22:20:29Z",20,"2017-03-06T22:16:58Z",1,"2017-04-19T09:24:45Z",0,"2017-04-29T10:05:00Z"
1758,"Specify #[repr(transparent)]","final-comment-period,T-lang","2016-09-26T08:53:25Z","MERGED","2017-07-03T19:08:54Z","",101,"2017-03-07T19:44:06Z",14,"2017-04-27T22:18:01Z",0,"2017-05-07T22:53:45Z"
1769,"Extend entry API to work on borrowed keys.","T-libs","2016-10-12T11:12:25Z","OPEN","","",21,"2017-01-07T00:44:46Z",13,"2017-02-28T22:03:23Z",11,"2017-03-10T22:10:08Z"
1777,"Add Cargo post-build scripts","final-comment-period,T-tools","2016-10-26T10:09:42Z","CLOSED","","2017-05-25T14:12:01Z",19,"2017-05-02T15:24:26Z",12,"2017-05-15T10:02:17Z",2,"2017-05-25T10:57:00Z"
1783,"Create a separate libc_types crate for basic C types","final-comment-period,T-libs","2016-11-03T04:46:22Z","CLOSED","","2017-04-25T05:43:20Z",104,"2017-03-29T22:58:00Z",1,"2017-04-15T00:59:21Z",0,"2017-04-25T01:58:18Z"
1789,"Conversions from `&mut T` to `&Cell<T>`","final-comment-period,T-lang,T-libs","2016-11-13T00:43:30Z","MERGED","2017-07-03T20:43:30Z","",34,"2017-04-25T21:04:26Z",13,"2017-06-01T08:45:23Z",5,"2017-06-11T09:32:44Z"
1796,"Adaptive hashing","final-comment-period,postponed,T-libs","2016-11-20T19:46:28Z","CLOSED","","2017-06-03T17:54:03Z",52,"2017-04-25T21:04:27Z",3,"2017-05-23T21:45:17Z",0,"2017-06-02T21:59:00Z"
1808,"Alloca for Rust","final-comment-period,T-lang,T-libs","2016-12-06T23:22:13Z","CLOSED","","2017-03-15T19:04:09Z",154,"2017-02-11T05:47:25Z",19,"2017-02-28T22:03:24Z",1,"2017-03-10T22:10:09Z"
1823,"Stackless coroutines","final-comment-period,T-lang","2016-12-19T06:40:34Z","CLOSED","","2017-04-24T23:27:32Z",293,"2017-03-15T16:24:42Z",3,"2017-04-12T19:43:55Z",0,"2017-04-22T19:46:00Z"
1824,"Proposal for default crate recommendation ranking","final-comment-period,T-core","2016-12-19T20:19:56Z","MERGED","2017-04-29T01:39:22Z","",175,"2017-03-15T17:42:28Z",19,"2017-04-17T16:13:07Z",4,"2017-04-27T16:16:01Z"
1828,"Rust bookshelf","final-comment-period,T-doc","2016-12-25T16:03:48Z","MERGED","2017-02-06T18:15:53Z","",49,"2017-01-24T19:58:54Z",6,"2017-01-25T20:04:00Z",0,"2017-02-04T20:31:55Z"
1832,"Generators","final-comment-period,T-lang","2016-12-27T21:48:03Z","CLOSED","","2017-05-08T22:37:54Z",6,"2017-02-23T20:38:30Z",0,"2017-04-27T22:18:01Z",0,"2017-05-07T22:53:45Z"
1841,"Reject crates.io uploads which declare a feature named `no_std`","final-comment-period,T-tools","2017-01-03T02:37:40Z","CLOSED","","2017-05-21T15:38:54Z",47,"2017-05-02T15:24:24Z",13,"2017-05-11T04:53:10Z",0,"2017-05-21T05:10:00Z"
1845,"RFC: From<&[T]> for Rc<[T]> + From<&str> for Rc<str>","final-comment-period,T-libs","2017-01-05T21:46:42Z","MERGED","2017-03-13T16:28:22Z","",26,"2017-02-14T15:34:17Z",5,"2017-02-28T22:03:24Z",3,"2017-03-10T22:10:09Z"
